Species,English name,Family,Species_qts
Clidoderma asperrimum,Roughscale sole,Pleuronectidae,"""Clidoderma asperrimum"""
Clinocottus analis,Woolly sculpin,Cottidae,"""Clinocottus analis"""
Clinocottus globiceps,Mosshead sculpin,Cottidae,"""Clinocottus globiceps"""
Clinostomus elongatus,Redside dace,Leuciscidae,"""Clinostomus elongatus"""
Clupanodon thrissa,Chinese gizzard shad,Dorosomatidae,"""Clupanodon thrissa"""
Clupea harengus,Atlantic herring,Clupeidae,"""Clupea harengus"""
Clupea pallasii,Pacific herring,Clupeidae,"""Clupea pallasii"""
Clupeonella abrau,Abrau sprat,Ehiravidae,"""Clupeonella abrau"""
Clupeonella cultriventris,Black and Caspian Sea sprat,Ehiravidae,"""Clupeonella cultriventris"""
Clupeonella engrauliformis,Anchovy sprat,Ehiravidae,"""Clupeonella engrauliformis"""
Clupeonella grimmi,Southern Caspian sprat,Ehiravidae,"""Clupeonella grimmi"""
Clupisoma garua,Garua bachcha,Ailiidae,"""Clupisoma garua"""
Cnidoglanis macrocephalus,Estuary cobbler,Plotosidae,"""Cnidoglanis macrocephalus"""
Cobitis calderoni,Lamprehuela,Cobitidae,"""Cobitis calderoni"""
Cobitis elongatoides,,Cobitidae,"""Cobitis elongatoides"""
Cobitis narentana,,Cobitidae,"""Cobitis narentana"""
Cobitis ohridana,,Cobitidae,"""Cobitis ohridana"""
Cobitis paludica,Raboseta,Cobitidae,"""Cobitis paludica"""
Cobitis simplicispina,Sakarya spined loach,Cobitidae,"""Cobitis simplicispina"""
Cobitis taenia,Spined loach,Cobitidae,"""Cobitis taenia"""
Cobitis turcica,Turkish spined loach,Cobitidae,"""Cobitis turcica"""
Coelorinchus caelorhincus,Hollowsnout grenadier,Macrouridae,"""Coelorinchus caelorhincus"""
Coelorinchus labiatus,Spearsnouted grenadier,Macrouridae,"""Coelorinchus labiatus"""
Coelorinchus mediterraneus,,Macrouridae,"""Coelorinchus mediterraneus"""
Coilia brachygnathus,Yangtse grenadier anchovy,Engraulidae,"""Coilia brachygnathus"""
Coilia dussumieri,Goldspotted grenadier anchovy,Engraulidae,"""Coilia dussumieri"""
Coilia mystus,Osbeck's grenadier anchovy,Engraulidae,"""Coilia mystus"""
Coilia nasus,Japanese grenadier anchovy,Engraulidae,"""Coilia nasus"""
Coilia ramcarati,Ramcarat grenadier anchovy,Engraulidae,"""Coilia ramcarati"""
Coilia reynaldi,Reynald's grenadier anchovy,Engraulidae,"""Coilia reynaldi"""
Colistium guentheri,,Rhombosoleidae,"""Colistium guentheri"""
Colistium nudipinnis,,Rhombosoleidae,"""Colistium nudipinnis"""
Cololabis saira,Pacific saury,Scomberesocidae,"""Cololabis saira"""
Colossoma macropomum,Cachama,Serrasalmidae,"""Colossoma macropomum"""
Comephorus baikalensis,Big Baikal oilfish,Cottidae,"""Comephorus baikalensis"""
Comephorus dybowskii,Little Baikal oilfish,Cottidae,"""Comephorus dybowskii"""
Conger conger,European conger,Congridae,"""Conger conger"""
Conger myriaster,Whitespotted conger,Congridae,"""Conger myriaster"""
Conger orbignianus,Argentine conger,Congridae,"""Conger orbignianus"""
Congresox talabonoides,Indian pike conger,Muraenesocidae,"""Congresox talabonoides"""
Conodon nobilis,Barred grunt,Haemulidae,"""Conodon nobilis"""
Contusus richei,Prickly toadfish,Tetraodontidae,"""Contusus richei"""
Copadichromis likomae,,Cichlidae,"""Copadichromis likomae"""
Copadichromis mloto,,Cichlidae,"""Copadichromis mloto"""
Copadichromis pleurostigmoides,,Cichlidae,"""Copadichromis pleurostigmoides"""
Copadichromis quadrimaculatus,,Cichlidae,"""Copadichromis quadrimaculatus"""
Copadichromis virginalis,Lake Malawi utaka,Cichlidae,"""Copadichromis virginalis"""
Coptodon guineensis,Guinean tilapia,Cichlidae,"""Coptodon guineensis"""
Coptodon rendalli,Redbreast tilapia,Cichlidae,"""Coptodon rendalli"""
Coptodon zillii,Redbelly tilapia,Cichlidae,"""Coptodon zillii"""
Coregonus albula,Vendace,Salmonidae,"""Coregonus albula"""
Coregonus alpenae,Longjaw cisco,Salmonidae,"""Coregonus alpenae"""
Coregonus artedi,Cisco,Salmonidae,"""Coregonus artedi"""
